Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-04-22 23:07:26,,UTC-04:00,2024-04-22 23:07:26,2024-04-23 07:33:34,89,14.0,434,506,164,97,173,72,487,0,86,79,false
2024-04-21 22:51:03,2024-04-22 23:07:26,UTC-04:00,2024-04-21 22:51:03,2024-04-22 08:41:47,100,13.8,554,588,270,126,158,34,506,19,94,77,false
2024-04-20 22:24:05,2024-04-21 22:51:03,UTC-04:00,2024-04-20 22:24:05,2024-04-21 06:44:56,94,13.9,463,500,251,80,132,37,493,25,92,74,false
2024-04-19 22:49:03,2024-04-20 22:24:05,UTC-04:00,2024-04-19 22:49:03,2024-04-20 06:40:34,92,14.9,440,467,234,80,126,27,480,0,94,74,false
2024-04-18 23:12:04,2024-04-19 22:49:03,UTC-04:00,2024-04-18 23:12:04,2024-04-19 09:04:43,100,14.9,531,580,294,88,149,49,529,44,92,72,false
2024-04-18 00:04:48,2024-04-18 23:12:04,UTC-04:00,2024-04-18 00:04:48,2024-04-18 07:57:17,83,14.1,429,472,235,86,108,43,518,41,93,68,false
2024-04-16 22:51:42,2024-04-18 00:04:48,UTC-04:00,2024-04-16 22:51:42,2024-04-17 06:31:13,83,14.7,418,458,232,57,129,40,501,0,95,77,false
2024-04-15 21:48:42,2024-04-16 22:51:42,UTC-04:00,2024-04-15 21:48:42,2024-04-16 07:29:49,100,15.0,518,577,377,94,47,59,508,0,90,81,false
2024-04-14 22:10:46,2024-04-15 21:48:42,UTC-04:00,2024-04-14 22:10:46,2024-04-15 08:31:46,100,14.1,550,619,305,101,144,69,495,28,88,76,false
2024-04-13 21:50:59,2024-04-14 22:10:46,UTC-04:00,2024-04-13 21:50:59,2024-04-14 06:29:37,91,13.4,455,518,228,90,137,63,499,33,88,72,false
2024-04-12 21:42:47,2024-04-13 21:50:59,UTC-04:00,2024-04-12 21:42:47,2024-04-13 06:42:05,90,13.5,446,535,249,49,148,89,497,6,83,70,false
2024-04-11 22:53:24,2024-04-12 21:42:47,UTC-04:00,2024-04-11 22:53:24,2024-04-12 08:52:47,98,13.3,493,595,230,114,149,102,502,21,82,70,false
2024-04-10 22:55:16,2024-04-11 22:53:24,UTC-04:00,2024-04-10 22:55:16,2024-04-11 07:50:15,93,13.7,432,529,273,65,94,97,465,0,83,58,false
2024-04-09 22:42:44,2024-04-10 22:55:16,UTC-04:00,2024-04-09 22:42:44,2024-04-10 07:49:15,100,16.3,462,544,301,108,53,82,239,127,84,45,false
2024-04-08 20:03:08,2024-04-09 22:42:44,UTC-04:00,2024-04-09 05:03:52,2024-04-09 10:01:23,52,16.7,257,297,140,54,63,40,494,127,87,,true
2024-04-08 20:03:08,2024-04-09 22:42:44,UTC-04:00,2024-04-09 00:42:23,2024-04-09 02:45:55,16,18.7,95,114,73,22,0,19,590,127,83,,true
2024-04-08 20:03:08,2024-04-09 22:42:44,UTC-04:00,2024-04-08 20:03:08,2024-04-08 21:11:23,7,19.4,31,68,23,6,2,37,465,0,45,54,false
2024-04-07 18:58:12,2024-04-08 20:03:08,UTC-04:00,2024-04-07 18:58:12,2024-04-08 09:00:48,100,17.4,659,832,537,64,58,173,485,0,79,46,false
2024-04-06 21:49:17,2024-04-07 18:58:12,UTC-04:00,2024-04-06 21:49:17,2024-04-07 06:50:59,100,14.4,500,541,238,119,143,41,501,28,95,67,false
2024-04-05 22:59:51,2024-04-06 21:49:17,UTC-04:00,2024-04-05 22:59:51,2024-04-06 06:41:17,88,14.3,413,460,239,82,92,47,471,6,90,78,false
2024-04-04 23:43:28,2024-04-05 22:59:51,UTC-04:00,2024-04-04 23:43:28,2024-04-05 08:08:38,98,14.6,483,497,244,99,140,14,493,12,97,69,false
2024-04-03 22:59:40,2024-04-04 23:43:28,UTC-04:00,2024-04-03 22:59:40,2024-04-04 09:02:25,97,13.9,541,602,265,138,138,61,560,89,90,65,false
2024-04-03 01:07:44,2024-04-03 22:59:40,UTC-04:00,2024-04-03 01:07:44,2024-04-03 07:01:30,64,14.7,312,351,183,75,54,39,492,26,90,64,false
2024-04-01 22:15:36,2024-04-03 01:07:44,UTC-04:00,2024-04-01 22:15:36,2024-04-02 07:01:55,89,14.3,456,522,210,96,150,66,509,16,89,83,false
2024-03-31 22:18:53,2024-04-01 22:15:36,UTC-04:00,2024-03-31 22:18:53,2024-04-01 06:59:55,94,14.1,475,520,222,105,148,45,507,0,91,88,false
2024-03-30 22:57:08,2024-03-31 22:18:53,UTC-04:00,2024-03-30 22:57:08,2024-03-31 07:59:48,100,14.4,511,536,291,126,94,25,463,0,95,91,false
2024-03-29 23:07:10,2024-03-30 22:57:08,UTC-04:00,2024-03-29 23:07:10,2024-03-30 08:17:04,100,14.2,507,549,409,62,36,42,482,18,92,88,false
2024-03-28 22:39:43,2024-03-29 23:07:10,UTC-04:00,2024-03-28 22:39:43,2024-03-29 07:34:41,93,14.3,473,534,215,114,144,61,511,19,90,89,false
2024-03-27 23:20:32,2024-03-28 22:39:43,UTC-04:00,2024-03-27 23:20:32,2024-03-28 07:42:21,92,14.1,472,501,235,115,122,29,512,23,94,86,false
2024-03-26 23:30:26,2024-03-27 23:20:32,UTC-04:00,2024-03-26 23:30:26,2024-03-27 08:06:40,90,14.0,436,516,234,96,106,80,482,0,86,77,false
2024-03-25 22:31:24,2024-03-26 23:30:26,UTC-04:00,2024-03-25 22:31:24,2024-03-26 07:52:20,100,14.1,508,558,203,128,177,50,485,6,91,83,false
2024-03-24 22:47:14,2024-03-25 22:31:24,UTC-04:00,2024-03-24 22:47:14,2024-03-25 07:05:12,97,13.8,456,497,263,94,99,41,468,0,91,85,false
2024-03-23 21:44:53,2024-03-24 22:47:14,UTC-04:00,2024-03-23 21:44:53,2024-03-24 06:46:34,100,13.8,504,541,354,68,82,37,476,8,93,86,false
2024-03-22 21:30:24,2024-03-23 21:44:53,UTC-04:00,2024-03-22 21:30:24,2024-03-23 06:45:34,96,14.3,473,555,273,107,93,82,491,9,85,81,false
2024-03-21 22:30:23,2024-03-22 21:30:24,UTC-04:00,2024-03-21 22:30:23,2024-03-22 07:31:07,97,14.1,502,540,188,122,192,38,517,15,94,82,false
2024-03-20 22:44:45,2024-03-21 22:30:23,UTC-04:00,2024-03-20 22:44:45,2024-03-21 06:54:32,94,14.2,453,489,170,114,169,36,483,0,93,78,false
2024-03-19 20:34:27,2024-03-20 22:44:45,UTC-04:00,2024-03-19 20:34:27,2024-03-20 06:42:29,100,14.5,540,595,306,110,124,55,480,0,90,71,false
2024-03-18 21:51:19,2024-03-19 20:34:27,UTC-04:00,2024-03-18 21:51:19,2024-03-19 07:50:13,100,15.0,523,593,255,106,162,70,494,0,90,81,false
2024-03-17 21:53:12,2024-03-18 21:51:19,UTC-04:00,2024-03-17 21:53:12,2024-03-18 07:03:05,100,14.2,518,549,325,65,128,31,484,16,94,80,false
2024-03-16 22:43:38,2024-03-17 21:53:12,UTC-04:00,2024-03-16 22:43:38,2024-03-17 06:47:40,93,14.4,458,483,223,82,153,25,492,22,95,72,false
2024-03-15 22:21:37,2024-03-16 22:43:38,UTC-04:00,2024-03-15 22:21:37,2024-03-16 06:39:35,91,14.8,440,496,272,79,89,56,484,0,90,76,false
2024-03-14 22:02:50,2024-03-15 22:21:37,UTC-04:00,2024-03-14 22:02:50,2024-03-15 09:22:29,100,15.0,627,679,301,140,186,52,495,0,92,75,false
2024-03-13 21:46:55,2024-03-14 22:02:50,UTC-04:00,2024-03-13 21:46:55,2024-03-14 07:46:47,100,14.9,529,597,261,124,144,68,472,0,88,83,false
2024-03-12 21:40:09,2024-03-13 21:46:55,UTC-04:00,2024-03-12 21:40:09,2024-03-13 08:17:01,100,14.5,558,633,311,99,148,75,493,11,89,71,false
2024-03-11 23:01:39,2024-03-12 21:40:09,UTC-04:00,2024-03-11 23:01:39,2024-03-12 07:29:42,96,14.1,467,508,214,105,148,41,485,0,91,64,false
2024-03-10 21:01:55,2024-03-11 23:01:39,UTC-04:00,2024-03-10 21:01:55,2024-03-11 06:54:34,100,14.7,529,591,306,137,86,62,527,23,89,53,false
2024-03-09 20:45:09,2024-03-10 20:01:55,UTC-05:00,2024-03-09 20:45:09,2024-03-10 05:45:16,91,14.8,500,539,273,82,145,39,548,81,92,59,false
2024-03-09 02:00:13,2024-03-09 20:45:09,UTC-05:00,2024-03-09 02:00:13,2024-03-09 06:55:03,62,15.5,262,294,108,74,80,32,424,0,88,39,false
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,2024-03-08 14:21:03,2024-03-08 15:30:45,14,16.5,65,69,65,0,0,4,465,0,94,,true
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,2024-03-07 21:12:56,2024-03-08 07:59:54,100,15.2,617,646,372,115,130,29,467,0,95,87,false
2024-03-06 21:21:32,2024-03-07 21:12:56,UTC-05:00,2024-03-06 21:21:32,2024-03-07 07:38:14,100,15.2,569,616,430,58,81,47,463,0,92,79,false
2024-03-05 21:29:40,2024-03-06 21:21:32,UTC-05:00,2024-03-05 21:29:40,2024-03-06 08:29:08,100,14.7,591,659,347,83,161,68,492,10,89,73,false
2024-03-04 22:29:37,2024-03-05 21:29:40,UTC-05:00,2024-03-04 22:29:37,2024-03-05 06:56:14,97,14.3,466,506,345,52,69,40,482,0,92,85,false
2024-03-03 21:15:32,2024-03-04 22:29:37,UTC-05:00,2024-03-03 21:15:32,2024-03-04 06:52:49,100,14.5,523,577,271,116,136,54,499,15,92,74,false
2024-03-02 22:32:24,2024-03-03 21:15:32,UTC-05:00,2024-03-02 22:32:24,2024-03-03 06:52:17,93,14.7,433,497,190,91,152,64,463,0,89,76,false
2024-03-01 22:38:34,2024-03-02 22:32:24,UTC-05:00,2024-03-01 22:38:34,2024-03-02 08:55:17,100,15.8,551,616,303,104,144,65,508,20,89,74,false
2024-02-29 22:42:49,2024-03-01 22:38:34,UTC-05:00,2024-02-29 22:42:49,2024-03-01 07:16:38,91,14.8,440,511,239,100,101,71,482,12,86,87,false
2024-02-28 22:14:54,2024-02-29 22:42:49,UTC-05:00,2024-02-28 22:14:54,2024-02-29 06:49:41,96,15.4,470,514,313,91,66,44,490,27,91,92,false
2024-02-27 21:46:30,2024-02-28 22:14:54,UTC-05:00,2024-02-27 21:46:30,2024-02-28 06:47:14,89,15.0,466,534,239,86,141,68,521,36,87,87,false
2024-02-26 22:17:43,2024-02-27 21:46:30,UTC-05:00,2024-02-26 22:17:43,2024-02-27 07:25:11,86,15.2,434,547,239,82,113,113,507,22,81,88,false
2024-02-25 22:19:32,2024-02-26 22:17:43,UTC-05:00,2024-02-25 22:19:32,2024-02-26 06:44:46,90,14.1,424,501,184,96,144,77,470,5,85,85,false
2024-02-24 21:49:43,2024-02-25 22:19:32,UTC-05:00,2024-02-24 21:49:43,2024-02-25 06:45:11,98,14.4,476,528,275,115,86,52,485,12,90,82,false
2024-02-23 22:57:56,2024-02-24 21:49:43,UTC-05:00,2024-02-23 22:57:56,2024-02-24 07:42:49,96,15.2,457,524,239,104,114,67,477,14,89,77,false
2024-02-22 22:31:57,2024-02-23 22:57:56,UTC-05:00,2024-02-22 22:31:57,2024-02-23 07:45:11,96,15.6,484,549,258,91,135,65,506,0,88,72,false
2024-02-21 21:01:32,2024-02-22 22:31:57,UTC-05:00,2024-02-21 21:01:32,2024-02-22 06:40:44,100,14.7,529,576,266,99,164,47,484,14,92,84,false
2024-02-20 21:33:13,2024-02-21 21:01:32,UTC-05:00,2024-02-20 21:33:13,2024-02-21 06:31:05,95,14.9,459,536,244,98,117,77,482,0,88,76,false
2024-02-19 20:46:04,2024-02-20 21:33:13,UTC-05:00,2024-02-19 20:46:04,2024-02-20 06:44:00,100,14.1,550,597,253,135,162,47,497,34,92,61,false
2024-02-18 21:54:45,2024-02-19 20:46:04,UTC-05:00,2024-02-18 21:54:45,2024-02-19 06:30:01,86,14.5,429,515,181,100,148,86,498,27,83,72,false
2024-02-17 23:32:44,2024-02-18 21:54:45,UTC-05:00,2024-02-17 23:32:44,2024-02-18 07:37:14,88,14.5,410,483,241,98,71,73,465,0,87,75,false
2024-02-16 22:48:58,2024-02-17 23:32:44,UTC-05:00,2024-02-16 22:48:58,2024-02-17 09:18:08,100,14.6,515,629,267,117,131,114,463,0,82,79,false
2024-02-15 22:50:21,2024-02-16 22:48:58,UTC-05:00,2024-02-15 22:50:21,2024-02-16 09:07:02,100,15.6,546,614,304,115,127,68,523,23,90,70,false
2024-02-14 22:17:10,2024-02-15 22:50:21,UTC-05:00,2024-02-14 22:17:10,2024-02-15 06:59:34,91,14.4,470,521,213,102,155,51,517,35,90,83,false
2024-02-13 22:10:45,2024-02-14 22:17:10,UTC-05:00,2024-02-13 22:10:45,2024-02-14 06:49:01,86,15.3,432,513,235,84,113,81,503,19,86,80,false
2024-02-12 23:35:47,2024-02-13 22:10:45,UTC-05:00,2024-02-12 23:35:47,2024-02-13 07:54:43,92,14.5,463,498,242,92,129,35,502,28,92,82,false
2024-02-11 23:07:53,2024-02-12 23:35:47,UTC-05:00,2024-02-11 23:07:53,2024-02-12 06:52:03,88,15.0,409,459,225,72,112,50,466,0,89,81,false
2024-02-10 22:06:17,2024-02-11 23:07:53,UTC-05:00,2024-02-10 22:06:17,2024-02-11 07:59:36,100,15.5,574,593,293,111,170,19,504,13,96,76,false
2024-02-09 23:52:28,2024-02-10 22:06:17,UTC-05:00,2024-02-09 23:52:28,2024-02-10 08:25:20,95,14.5,472,512,151,142,179,40,499,21,92,64,false
2024-02-08 22:44:11,2024-02-09 23:52:28,UTC-05:00,2024-02-08 22:44:11,2024-02-09 06:50:21,91,15.3,447,473,240,108,99,26,490,0,95,80,false
2024-02-07 21:45:58,2024-02-08 22:44:11,UTC-05:00,2024-02-07 21:45:58,2024-02-08 07:16:31,100,14.5,529,569,338,93,98,40,475,0,92,82,false
2024-02-06 21:27:28,2024-02-07 21:45:58,UTC-05:00,2024-02-06 21:27:28,2024-02-07 06:30:33,100,15.5,498,541,340,72,86,43,476,0,92,80,false
2024-02-05 21:31:45,2024-02-06 21:27:28,UTC-05:00,2024-02-05 21:31:45,2024-02-06 07:49:17,100,14.6,546,597,327,77,142,51,514,43,91,75,false
2024-02-04 23:23:41,2024-02-05 21:31:45,UTC-05:00,2024-02-04 23:23:41,2024-02-05 06:29:32,82,14.4,390,425,239,75,76,35,476,10,91,84,false
2024-02-03 23:28:26,2024-02-04 23:23:41,UTC-05:00,2024-02-03 23:28:26,2024-02-04 07:37:16,95,14.0,447,485,253,103,91,38,469,0,92,76,false
2024-02-02 21:28:43,2024-02-03 23:28:26,UTC-05:00,2024-02-02 21:28:43,2024-02-03 07:58:51,100,14.9,576,621,403,105,68,45,465,0,92,81,false
2024-02-01 22:41:22,2024-02-02 21:28:43,UTC-05:00,2024-02-01 22:41:22,2024-02-02 08:08:32,100,14.8,509,558,277,100,132,49,490,0,91,71,false
2024-01-31 22:02:57,2024-02-01 22:41:22,UTC-05:00,2024-01-31 22:02:57,2024-02-01 07:33:22,100,14.6,506,567,289,78,139,61,471,0,89,76,false
2024-01-30 20:31:35,2024-01-31 22:02:57,UTC-05:00,2024-01-30 20:31:35,2024-01-31 06:36:15,100,14.5,513,595,298,88,127,82,477,0,88,84,false
2024-01-29 21:09:37,2024-01-30 20:31:35,UTC-05:00,2024-01-29 21:09:37,2024-01-30 06:52:50,100,14.4,522,583,258,107,157,61,483,0,91,83,false
2024-01-28 20:54:41,2024-01-29 21:09:37,UTC-05:00,2024-01-28 20:54:41,2024-01-29 06:45:23,100,13.8,522,586,276,113,133,64,471,0,89,69,false
2024-01-27 22:10:35,2024-01-28 20:54:41,UTC-05:00,2024-01-27 22:10:35,2024-01-28 08:18:30,100,14.7,558,599,302,95,161,41,479,14,94,72,false
